;pais_destino;ano;quantidade_l;valor_uss
0;Afeganistão;2008;0;0
1;África do Sul;2008;0;0
2;Alemanha, República Democrática;2008;265742;429970
3;Angola;2008;25721;71083
4;Anguilla;2008;0;0
5;Antígua e Barbuda;2008;0;0
6;Antilhas Holandesas;2008;17938;22908
7;Argentina;2008;0;0
8;Aruba;2008;0;0
9;Austrália;2008;218726;99280
10;Áustria;2008;0;0
11;Bahamas;2008;0;0
12;Bangladesh;2008;0;0
13;Barbados;2008;0;0
14;Barein;2008;0;0
15;Bélgica;2008;3523;12969
16;Belice;2008;0;0
17;Benin;2008;10350;17423
18;Bolívia;2008;3979;3990
19;Bósnia-Herzegovina;2008;0;0
20;Brasil;2008;0;0
21;Bulgária;2008;0;0
22;Cabo Verde;2008;0;0
23;Camarões;2008;0;0
24;Canadá;2008;20949;80476
25;Catar;2008;0;0
26;Cayman, Ilhas;2008;0;0
27;Chile;2008;0;0
28;China;2008;8689;25926
29;Chipre;2008;0;0
30;Cingapura;2008;1233;4699
31;Cocos (Keeling), Ilhas;2008;0;0
32;Colômbia;2008;0;0
33;Comores;2008;0;0
34;Congo;2008;0;0
35;Coreia, Republica Sul;2008;3520;14366
36;Costa do Marfim;2008;0;0
37;Costa Rica;2008;55;200
38;Croácia;2008;0;0
39;Cuba;2008;0;0
40;Curaçao;2008;0;0
41;Dinamarca;2008;518;15905
42;Dominica;2008;0;0
43;El Salvador;2008;0;0
44;Emirados Arabes Unidos;2008;2437;12298
45;Equador;2008;0;0
46;Eslovaca, Republica;2008;585;16063
47;Espanha;2008;2942;6834
48;Estados Unidos;2008;443895;804607
49;Estônia;2008;4114;9730
50;Filipinas;2008;0;0
51;Finlândia;2008;0;0
52;França;2008;11078;27500
53;Gana;2008;18168;25642
54;Gibraltar;2008;0;0
55;Granada;2008;0;0
56;Grécia;2008;0;0
57;Guatemala;2008;0;0
58;Guiana;2008;0;0
59;Guiana Francesa;2008;0;0
60;Guine Bissau;2008;0;0
61;Guine Equatorial;2008;548;1417
62;Haiti;2008;20;20
63;Honduras;2008;162;580
64;Hong Kong;2008;2430;13460
65;Hungria;2008;0;0
66;Ilha de Man;2008;0;0
67;Ilhas Virgens;2008;0;0
68;India;2008;0;0
69;Indonésia;2008;0;0
70;Irã;2008;0;0
71;Iraque;2008;0;0
72;Irlanda;2008;0;0
73;Itália;2008;0;0
74;Jamaica;2008;0;0
75;Japão;2008;232293;178333
76;Jordânia;2008;0;0
77;Letônia;2008;0;0
78;Líbano;2008;0;0
79;Libéria;2008;0;0
80;Luxemburgo;2008;13606;42341
81;Malásia;2008;0;0
82;Malta;2008;0;0
83;Marshall, Ilhas;2008;0;0
84;Mauritânia;2008;0;0
85;México;2008;0;0
86;Moçambique;2008;0;0
87;Montenegro;2008;0;0
88;Namibia;2008;340;722
89;Nicaragua;2008;0;0
90;Nigéria;2008;7560;10920
91;Noruega;2008;0;0
92;Nova Caledônia;2008;0;0
93;Nova Zelândia;2008;0;0
94;Omã;2008;0;0
95;Países Baixos;2008;340412;783635
96;Panamá;2008;1161;1882
97;Paraguai;2008;2191901;1374088
98;Peru;2008;0;0
99;Polônia;2008;20290;58353
100;Porto Rico;2008;0;0
101;Portugal;2008;49090;48942
102;Quênia;2008;0;0
103;Reino Unido;2008;100097;155076
104;República Dominicana;2008;0;0
105;Rússia;2008;6207658;2352768
106;São Tomé e Príncipe;2008;0;0
107;São Vicente e Granadinas;2008;0;0
108;Senegal;2008;0;0
109;Serra Leoa;2008;0;0
110;Singapura;2008;0;0
111;Suazilândia;2008;0;0
112;Suécia;2008;26984;84564
113;Suíça;2008;54384;216317
114;Suriname;2008;900;1625
115;Tailândia;2008;0;0
116;Taiwan (FORMOSA);2008;10030;18679
117;Tanzânia;2008;0;0
118;Tcheca, República;2008;17135;64709
119;Togo;2008;5160;7800
120;Trinidade Tobago;2008;0;0
121;Tunísia;2008;0;0
122;Turquia;2008;0;0
123;Tuvalu;2008;0;0
124;Uruguai;2008;0;0
125;Vanuatu;2008;0;0
126;Venezuela;2008;0;0
127;Vietnã;2008;0;0
128;Afeganistão;2009;0;0
129;África do Sul;2009;0;0
130;Alemanha, República Democrática;2009;225086;393482
131;Angola;2009;54786;84235
132;Anguilla;2009;0;0
133;Antígua e Barbuda;2009;0;0
134;Antilhas Holandesas;2009;8235;10651
135;Argentina;2009;162;4523
136;Aruba;2009;0;0
137;Austrália;2009;1014;9195
138;Áustria;2009;0;0
139;Bahamas;2009;0;0
140;Bangladesh;2009;0;0
141;Barbados;2009;0;0
142;Barein;2009;0;0
143;Bélgica;2009;125962;58764
144;Belice;2009;0;0
145;Benin;2009;0;0
146;Bolívia;2009;40463;20729
147;Bósnia-Herzegovina;2009;0;0
148;Brasil;2009;0;0
149;Bulgária;2009;0;0
150;Cabo Verde;2009;0;0
151;Camarões;2009;0;0
152;Canadá;2009;15664;73445
153;Catar;2009;0;0
154;Cayman, Ilhas;2009;0;0
155;Chile;2009;1475;4297
156;China;2009;1553416;482400
157;Chipre;2009;0;0
158;Cingapura;2009;2419;6110
159;Cocos (Keeling), Ilhas;2009;0;0
160;Colômbia;2009;0;0
161;Comores;2009;0;0
162;Congo;2009;0;0
163;Coreia, Republica Sul;2009;0;0
164;Costa do Marfim;2009;0;0
165;Costa Rica;2009;0;0
166;Croácia;2009;0;0
167;Cuba;2009;0;0
168;Curaçao;2009;0;0
169;Dinamarca;2009;1980;21780
170;Dominica;2009;0;0
171;El Salvador;2009;55;100
172;Emirados Arabes Unidos;2009;1398;4032
173;Equador;2009;0;0
174;Eslovaca, Republica;2009;0;0
175;Espanha;2009;2181;4050
176;Estados Unidos;2009;372319;660066
177;Estônia;2009;5438;10802
178;Filipinas;2009;0;0
179;Finlândia;2009;0;0
180;França;2009;0;0
181;Gana;2009;0;0
182;Gibraltar;2009;0;0
183;Granada;2009;0;0
184;Grécia;2009;0;0
185;Guatemala;2009;20;20
186;Guiana;2009;0;0
187;Guiana Francesa;2009;0;0
188;Guine Bissau;2009;0;0
189;Guine Equatorial;2009;169;272
190;Haiti;2009;4500;5863
191;Honduras;2009;14;30
192;Hong Kong;2009;50319;27188
193;Hungria;2009;0;0
194;Ilha de Man;2009;0;0
195;Ilhas Virgens;2009;0;0
196;India;2009;0;0
197;Indonésia;2009;0;0
198;Irã;2009;0;0
199;Iraque;2009;0;0
200;Irlanda;2009;0;0
201;Itália;2009;1817;5251
202;Jamaica;2009;0;0
203;Japão;2009;217974;283436
204;Jordânia;2009;0;0
205;Letônia;2009;0;0
206;Líbano;2009;0;0
207;Libéria;2009;0;0
208;Luxemburgo;2009;7845;42124
209;Malásia;2009;0;0
210;Malta;2009;0;0
211;Marshall, Ilhas;2009;0;0
212;Mauritânia;2009;0;0
213;México;2009;0;0
214;Moçambique;2009;0;0
215;Montenegro;2009;0;0
