;pais_destino;ano;quantidade_l;valor_uss
0;Afeganistão;2008;0;0
1;África do Sul;2008;0;0
2;Alemanha;2008;265742;429970
3;Angola;2008;25721;71083
4;Antígua e Barbuda;2008;0;0
5;Antilhas Holandesas;2008;17938;22908
6;Argentina;2008;0;0
7;Aruba;2008;0;0
8;Austrália;2008;218726;99280
9;Áustria;2008;0;0
10;Bahamas;2008;0;0
11;Bangladesh;2008;0;0
12;Barbados;2008;0;0
13;Barein;2008;0;0
14;Bélgica;2008;3523;12969
15;Belice;2008;0;0
16;Benin;2008;10350;17423
17;Bolívia;2008;3979;3990
18;Bósnia-Herzegovina;2008;0;0
19;Brasil;2008;0;0
20;Bulgária;2008;0;0
21;Cabo Verde;2008;0;0
22;Camarões;2008;0;0
23;Canadá;2008;20949;80476
24;Catar;2008;0;0
25;Cayman, Ilhas;2008;0;0
26;Chile;2008;0;0
27;China;2008;8689;25926
28;Chipre;2008;0;0
29;Cingapura;2008;1233;4699
30;Cocos (Keeling), Ilhas;2008;0;0
31;Colômbia;2008;0;0
32;Comores;2008;0;0
33;Congo;2008;0;0
34;Coreia, Republica Sul;2008;3520;14366
35;Costa Rica;2008;55;200
36;Croácia;2008;0;0
37;Cuba;2008;0;0
38;Curaçao;2008;0;0
39;Dinamarca;2008;518;15905
40;Dominica;2008;0;0
41;El Salvador;2008;0;0
42;Emirados Arabes Unidos;2008;2437;12298
43;Equador;2008;0;0
44;Eslovaca, Republica;2008;585;16063
45;Espanha;2008;2942;6834
46;Estados Unidos;2008;443895;804607
47;Estônia;2008;4114;9730
48;Filipinas;2008;0;0
49;Finlândia;2008;0;0
50;França;2008;11078;27500
51;Gana;2008;18168;25642
52;Gibraltar;2008;0;0
53;Granada;2008;0;0
54;Grécia;2008;0;0
55;Guatemala;2008;0;0
56;Guiana;2008;0;0
57;Guiana Francesa;2008;0;0
58;Guine Bissau;2008;0;0
59;Guine Equatorial;2008;548;1417
60;Haiti;2008;20;20
61;Honduras;2008;162;580
62;Hong Kong;2008;2430;13460
63;Hungria;2008;0;0
64;Ilha de Man;2008;0;0
65;India;2008;0;0
66;Indonésia;2008;0;0
67;Irã;2008;0;0
68;Irlanda;2008;0;0
69;Itália;2008;0;0
70;Japão;2008;232293;178333
71;Jordânia;2008;0;0
72;Letônia;2008;0;0
73;Libéria;2008;0;0
74;Luxemburgo;2008;13606;42341
75;Malásia;2008;0;0
76;Malta;2008;0;0
77;Marshall, Ilhas;2008;0;0
78;Mauritânia;2008;0;0
79;México;2008;0;0
80;Moçambique;2008;0;0
81;Montenegro;2008;0;0
82;Namibia;2008;340;722
83;Nicaragua;2008;0;0
84;Nigéria;2008;7560;10920
85;Noruega;2008;0;0
86;Nova Caledônia;2008;0;0
87;Nova Zelândia;2008;0;0
88;Omã;2008;0;0
89;Países Baixos;2008;340412;783635
90;Panamá;2008;1161;1882
91;Paraguai;2008;2191901;1374088
92;Peru;2008;0;0
93;Polônia;2008;20290;58353
94;Portugal;2008;49090;48942
95;Quênia;2008;0;0
96;Reino Unido;2008;100097;155076
97;Rússia;2008;6207658;2352768
98;São Tomé e Príncipe;2008;0;0
99;São Vicente e Granadinas;2008;0;0
100;Serra Leoa;2008;0;0
101;Singapura;2008;0;0
102;Suazilândia;2008;0;0
103;Suécia;2008;26984;84564
104;Suíça;2008;54384;216317
105;Suriname;2008;900;1625
106;Tailândia;2008;0;0
107;Taiwan (FORMOSA);2008;10030;18679
108;Tcheca, República;2008;17135;64709
109;Togo;2008;5160;7800
110;Trinidade Tobago;2008;0;0
111;Turquia;2008;0;0
112;Tuvalu;2008;0;0
113;Uruguai;2008;0;0
114;Vanuatu;2008;0;0
115;Venezuela;2008;0;0
116;Vietnã;2008;0;0
117;Afeganistão;2009;0;0
118;África do Sul;2009;0;0
119;Alemanha;2009;225086;393482
120;Angola;2009;54786;84235
121;Antígua e Barbuda;2009;0;0
122;Antilhas Holandesas;2009;8235;10651
123;Argentina;2009;162;4523
124;Aruba;2009;0;0
125;Austrália;2009;1014;9195
126;Áustria;2009;0;0
127;Bahamas;2009;0;0
128;Bangladesh;2009;0;0
129;Barbados;2009;0;0
130;Barein;2009;0;0
131;Bélgica;2009;125962;58764
132;Belice;2009;0;0
133;Benin;2009;0;0
134;Bolívia;2009;40463;20729
135;Bósnia-Herzegovina;2009;0;0
136;Brasil;2009;0;0
137;Bulgária;2009;0;0
138;Cabo Verde;2009;0;0
139;Camarões;2009;0;0
140;Canadá;2009;15664;73445
141;Catar;2009;0;0
142;Cayman, Ilhas;2009;0;0
143;Chile;2009;1475;4297
144;China;2009;1553416;482400
145;Chipre;2009;0;0
146;Cingapura;2009;2419;6110
147;Cocos (Keeling), Ilhas;2009;0;0
148;Colômbia;2009;0;0
149;Comores;2009;0;0
150;Congo;2009;0;0
151;Coreia, Republica Sul;2009;0;0
152;Costa Rica;2009;0;0
153;Croácia;2009;0;0
154;Cuba;2009;0;0
155;Curaçao;2009;0;0
156;Dinamarca;2009;1980;21780
157;Dominica;2009;0;0
158;El Salvador;2009;55;100
159;Emirados Arabes Unidos;2009;1398;4032
160;Equador;2009;0;0
161;Eslovaca, Republica;2009;0;0
162;Espanha;2009;2181;4050
163;Estados Unidos;2009;372319;660066
164;Estônia;2009;5438;10802
165;Filipinas;2009;0;0
166;Finlândia;2009;0;0
167;França;2009;0;0
168;Gana;2009;0;0
169;Gibraltar;2009;0;0
170;Granada;2009;0;0
171;Grécia;2009;0;0
172;Guatemala;2009;20;20
173;Guiana;2009;0;0
174;Guiana Francesa;2009;0;0
175;Guine Bissau;2009;0;0
176;Guine Equatorial;2009;169;272
177;Haiti;2009;4500;5863
178;Honduras;2009;14;30
179;Hong Kong;2009;50319;27188
180;Hungria;2009;0;0
181;Ilha de Man;2009;0;0
182;India;2009;0;0
183;Indonésia;2009;0;0
184;Irã;2009;0;0
185;Irlanda;2009;0;0
186;Itália;2009;1817;5251
187;Japão;2009;217974;283436
188;Jordânia;2009;0;0
189;Letônia;2009;0;0
190;Libéria;2009;0;0
191;Luxemburgo;2009;7845;42124
192;Malásia;2009;0;0
193;Malta;2009;0;0
194;Marshall, Ilhas;2009;0;0
195;Mauritânia;2009;0;0
196;México;2009;0;0
197;Moçambique;2009;0;0
198;Montenegro;2009;0;0
199;Namibia;2009;0;0
200;Nicaragua;2009;24;24
201;Nigéria;2009;41;115
202;Noruega;2009;0;0
203;Nova Caledônia;2009;0;0
204;Nova Zelândia;2009;0;0
205;Omã;2009;0;0
206;Países Baixos;2009;171654;136991
207;Panamá;2009;24;30
208;Paraguai;2009;486927;392087
209;Peru;2009;0;0
210;Polônia;2009;6982;35797
211;Portugal;2009;141000;168923
212;Quênia;2009;0;0
213;Reino Unido;2009;30092;68788
214;Rússia;2009;21912914;5732280
215;São Tomé e Príncipe;2009;0;0
